;annee;region;prenom;nombre;pourcentage
0;1900;Alsace;MARIE;2394;27,04%
1;1900;Aquitaine;MARIE;3471;28,54%
2;1900;Auvergne;MARIE;2486;32,53%
3;1900;Basse-Normandie;MARIE;744;12,98%
4;1900;Bourgogne;MARIE;1727;21,63%
5;1900;Bretagne;MARIE;5813;37,26%
6;1900;Centre;MARIE;1390;14,95%
7;1900;Champagne-Ardenne;MARIE;777;13,64%
8;1900;Corse;MARIE;749;40,68%
9;1900;Franche-Comté;MARIE;1243;25,25%
10;1900;Haute-Normandie;MARIE;598;9,11%
11;1900;Ile-de-France;MARIE;1906;7,45%
12;1900;Languedoc-Roussillion;MARIE;1675;20,96%
13;1900;Limousin;MARIE;1943;33,92%
14;1900;Lorraine;MARIE;3375;31,49%
15;1900;Midi-Pyrénées;MARIE;2446;24,32%
16;1900;Nord-Pas-de-Calais;MARIE;2109;11,12%
17;1900;Outre-mer;MARIE;1854;29,83%
18;1900;Pays-de-la-Loire;MARIE;2834;23,54%
19;1900;Picardie;MARIE;911;12,07%
20;1900;Poitou-Charentes;MARIE;1650;22,41%
21;1900;Provence-Alpes-Cote-d'Azur;MARIE;2033;21,96%
22;1900;Rhône-Alpes;MARIE;4599;25,64%
23;1901;Alsace;MARIE;2483;26,68%
24;1901;Aquitaine;MARIE;3821;29,06%
25;1901;Auvergne;MARIE;2632;31,95%
26;1901;Basse-Normandie;MARIE;862;13,84%
27;1901;Bourgogne;MARIE;1928;22,00%
28;1901;Bretagne;MARIE;6247;36,55%
29;1901;Centre;MARIE;1384;13,46%
30;1901;Champagne-Ardenne;MARIE;894;14,03%
31;1901;Corse;MARIE;732;40,85%
32;1901;Franche-Comté;MARIE;1266;23,58%
33;1901;Haute-Normandie;MARIE;669;9,44%
34;1901;Ile-de-France;MARIE;2028;7,35%
35;1901;Languedoc-Roussillion;MARIE;1752;19,81%
36;1901;Limousin;MARIE;2111;33,21%
37;1901;Lorraine;MARIE;3596;30,46%
38;1901;Midi-Pyrénées;MARIE;2710;23,92%
39;1901;Nord-Pas-de-Calais;MARIE;2210;10,92%
40;1901;Outre-mer;MARIE;1773;28,12%
41;1901;Pays-de-la-Loire;MARIE;3134;23,38%
42;1901;Picardie;MARIE;1028;12,30%
43;1901;Poitou-Charentes;MARIE;1719;21,62%
44;1901;Provence-Alpes-Cote-d'Azur;MARIE;2241;22,19%
45;1901;Rhône-Alpes;MARIE;4947;25,11%
46;1902;Alsace;MARIE;2547;27,24%
47;1902;Aquitaine;MARIE;3730;28,05%
48;1902;Auvergne;MARIE;2675;32,25%
49;1902;Basse-Normandie;MARIE;811;12,92%
50;1902;Bourgogne;MARIE;1768;20,16%
51;1902;Bretagne;MARIE;6218;35,37%
52;1902;Centre;MARIE;1378;13,03%
53;1902;Champagne-Ardenne;MARIE;927;13,61%
54;1902;Corse;MARIE;744;41,01%
55;1902;Franche-Comté;MARIE;1234;22,56%
56;1902;Haute-Normandie;MARIE;666;8,98%
57;1902;Ile-de-France;MARIE;1966;6,96%
58;1902;Languedoc-Roussillion;MARIE;1729;19,86%
59;1902;Limousin;MARIE;1999;32,54%
60;1902;Lorraine;MARIE;3643;29,65%
61;1902;Midi-Pyrénées;MARIE;2625;23,19%
62;1902;Nord-Pas-de-Calais;MARIE;2266;11,21%
63;1902;Outre-mer;MARIE;1932;30,55%
64;1902;Pays-de-la-Loire;MARIE;3180;23,66%
65;1902;Picardie;MARIE;1009;11,88%
66;1902;Poitou-Charentes;MARIE;1689;20,05%
67;1902;Provence-Alpes-Cote-d'Azur;MARIE;2235;21,07%
68;1902;Rhône-Alpes;MARIE;4899;25,03%
69;1903;Alsace;MARIE;2385;25,68%
70;1903;Aquitaine;MARIE;3621;27,60%
71;1903;Auvergne;MARIE;2535;31,61%
72;1903;Basse-Normandie;MARIE;842;12,58%
73;1903;Bourgogne;MARIE;1812;20,40%
74;1903;Bretagne;MARIE;6442;35,18%
75;1903;Centre;MARIE;1339;12,92%
76;1903;Champagne-Ardenne;MARIE;786;12,16%
77;1903;Corse;MARIE;798;39,60%
78;1903;Franche-Comté;MARIE;1180;21,62%
79;1903;Haute-Normandie;MARIE;622;8,45%
80;1903;Ile-de-France;MARIE;1811;6,53%
81;1903;Languedoc-Roussillion;MARIE;1667;19,65%
82;1903;Limousin;MARIE;2045;32,31%
83;1903;Lorraine;MARIE;3611;28,96%
84;1903;Midi-Pyrénées;MARIE;2471;22,21%
85;1903;Nord-Pas-de-Calais;MARIE;2229;10,74%
86;1903;Outre-mer;MARIE;1925;29,78%
87;1903;Pays-de-la-Loire;MARIE;3083;22,22%
88;1903;Picardie;MARIE;886;10,65%
89;1903;Poitou-Charentes;MARIE;1579;19,34%
90;1903;Provence-Alpes-Cote-d'Azur;MARIE;2123;20,72%
91;1903;Rhône-Alpes;MARIE;4653;24,04%
92;1904;Alsace;MARIE;2644;26,89%
93;1904;Aquitaine;MARIE;3665;27,57%
94;1904;Auvergne;MARIE;2467;29,98%
95;1904;Basse-Normandie;MARIE;895;13,00%
96;1904;Bourgogne;MARIE;1666;18,82%
97;1904;Bretagne;MARIE;6313;34,26%
98;1904;Centre;MARIE;1273;12,22%
99;1904;Champagne-Ardenne;MARIE;831;12,57%
100;1904;Corse;MARIE;812;41,47%
