;annee;region;prenom;nombre;pourcentage
0;1900;Alsace;JOSEPH;687;10,57%
1;1900;Aquitaine;JEAN;2163;23,16%
2;1900;Auvergne;JEAN;986;17,42%
3;1900;Basse-Normandie;MARCEL;240;6,65%
4;1900;Bourgogne;JEAN;594;9,78%
5;1900;Bretagne;JEAN;1654;16,37%
6;1900;Centre;MARCEL;448;6,15%
7;1900;Champagne-Ardenne;ANDRÉ;303;7,01%
8;1900;Corse;JEAN;232;15,46%
9;1900;Franche-Comté;LOUIS;257;7,04%
10;1900;Haute-Normandie;MARCEL;306;6,94%
11;1900;Ile-de-France;ANDRÉ;1332;6,98%
12;1900;Languedoc-Roussillion;JEAN;581;8,87%
13;1900;Limousin;JEAN;737;17,35%
14;1900;Lorraine;JEAN;615;7,58%
15;1900;Midi-Pyrénées;JEAN;1147;13,84%
16;1900;Nord-Pas-de-Calais;HENRI;718;5,38%
17;1900;Outre-mer;JOSEPH;499;7,63%
18;1900;Pays-de-la-Loire;LOUIS;591;6,88%
19;1900;Picardie;ANDRÉ;360;6,39%
20;1900;Poitou-Charentes;JEAN;329;5,41%
21;1900;Provence-Alpes-Cote-d'Azur;JEAN;538;7,47%
22;1900;Rhône-Alpes;JEAN;1517;11,84%
23;1901;Alsace;JOSEPH;722;10,06%
24;1901;Aquitaine;JEAN;2327;22,81%
25;1901;Auvergne;JEAN;1036;16,77%
26;1901;Basse-Normandie;LOUIS;260;6,26%
27;1901;Bourgogne;JEAN;655;9,36%
28;1901;Bretagne;JEAN;2041;17,65%
29;1901;Centre;MARCEL;533;6,50%
30;1901;Champagne-Ardenne;ANDRÉ;370;7,51%
31;1901;Corse;JEAN;210;14,31%
32;1901;Franche-Comté;LOUIS;324;7,81%
33;1901;Haute-Normandie;ANDRÉ;379;7,48%
34;1901;Ile-de-France;ANDRÉ;1420;6,75%
35;1901;Languedoc-Roussillion;JEAN;588;8,01%
36;1901;Limousin;JEAN;857;16,81%
37;1901;Lorraine;JEAN;648;7,43%
38;1901;Midi-Pyrénées;JEAN;1302;14,19%
39;1901;Nord-Pas-de-Calais;HENRI;699;4,92%
40;1901;Outre-mer;JOSEPH;490;7,33%
41;1901;Pays-de-la-Loire;LOUIS;696;7,14%
42;1901;Picardie;ANDRÉ;372;5,95%
43;1901;Poitou-Charentes;JEAN;388;5,76%
44;1901;Provence-Alpes-Cote-d'Azur;JEAN;551;7,08%
45;1901;Rhône-Alpes;JEAN;1583;10,98%
46;1902;Alsace;JOSEPH;763;10,50%
47;1902;Aquitaine;JEAN;2452;22,60%
48;1902;Auvergne;JEAN;1041;16,30%
49;1902;Basse-Normandie;MARCEL;299;6,97%
50;1902;Bourgogne;JEAN;674;9,37%
51;1902;Bretagne;JEAN;1971;16,27%
52;1902;Centre;MARCEL;566;6,70%
53;1902;Champagne-Ardenne;MARCEL;335;6,46%
54;1902;Corse;JEAN;251;16,13%
55;1902;Franche-Comté;LOUIS;293;7,06%
56;1902;Haute-Normandie;MARCEL;368;6,96%
57;1902;Ile-de-France;MARCEL;1436;6,48%
58;1902;Languedoc-Roussillion;JEAN;634;8,54%
59;1902;Limousin;JEAN;817;15,76%
60;1902;Lorraine;JEAN;731;7,92%
61;1902;Midi-Pyrénées;JEAN;1337;13,86%
62;1902;Nord-Pas-de-Calais;HENRI;809;5,29%
63;1902;Outre-mer;JOSEPH;467;7,18%
64;1902;Pays-de-la-Loire;LOUIS;699;6,73%
65;1902;Picardie;MARCEL;391;5,76%
66;1902;Poitou-Charentes;JEAN;445;6,02%
67;1902;Provence-Alpes-Cote-d'Azur;JEAN;623;7,45%
68;1902;Rhône-Alpes;JEAN;1671;11,48%
69;1903;Alsace;JOSEPH;798;10,91%
70;1903;Aquitaine;JEAN;2346;21,92%
71;1903;Auvergne;JEAN;1108;17,42%
72;1903;Basse-Normandie;LOUIS;317;6,57%
73;1903;Bourgogne;JEAN;651;9,31%
74;1903;Bretagne;JEAN;2139;16,28%
75;1903;Centre;MARCEL;569;6,74%
76;1903;Champagne-Ardenne;ANDRÉ;389;7,54%
77;1903;Corse;JEAN;259;15,44%
78;1903;Franche-Comté;LOUIS;319;7,18%
79;1903;Haute-Normandie;ANDRÉ;404;7,43%
80;1903;Ile-de-France;ANDRÉ;1615;7,27%
81;1903;Languedoc-Roussillion;JEAN;617;8,42%
82;1903;Limousin;JEAN;789;15,45%
83;1903;Lorraine;JEAN;721;7,31%
84;1903;Midi-Pyrénées;JEAN;1317;14,07%
85;1903;Nord-Pas-de-Calais;HENRI;800;5,19%
86;1903;Outre-mer;JOSEPH;509;7,60%
87;1903;Pays-de-la-Loire;LOUIS;679;6,14%
88;1903;Picardie;ANDRÉ;481;7,23%
89;1903;Poitou-Charentes;MARCEL;437;6,01%
90;1903;Provence-Alpes-Cote-d'Azur;JEAN;586;7,12%
91;1903;Rhône-Alpes;JEAN;1632;11,01%
92;1904;Alsace;JOSEPH;717;9,29%
93;1904;Aquitaine;JEAN;2413;21,90%
94;1904;Auvergne;JEAN;1077;16,62%
95;1904;Basse-Normandie;MARCEL;350;6,93%
96;1904;Bourgogne;JEAN;705;9,73%
97;1904;Bretagne;JEAN;2167;16,09%
98;1904;Centre;MARCEL;600;6,69%
99;1904;Champagne-Ardenne;ANDRÉ;418;7,81%
100;1904;Corse;JEAN;266;16,00%
101;1904;Franche-Comté;LOUIS;296;6,55%
102;1904;Haute-Normandie;MARCEL;389;6,84%
103;1904;Ile-de-France;ANDRÉ;1706;7,45%
104;1904;Languedoc-Roussillion;JEAN;593;7,98%
105;1904;Limousin;JEAN;782;14,57%
106;1904;Lorraine;JEAN;808;7,92%
107;1904;Midi-Pyrénées;JEAN;1305;13,44%
108;1904;Nord-Pas-de-Calais;HENRI;761;4,73%
109;1904;Outre-mer;JOSEPH;513;7,51%
110;1904;Pays-de-la-Loire;LOUIS;714;6,48%
111;1904;Picardie;ANDRÉ;463;6,86%
112;1904;Poitou-Charentes;JEAN;416;5,53%
113;1904;Provence-Alpes-Cote-d'Azur;JEAN;644;7,32%
114;1904;Rhône-Alpes;JEAN;1649;10,62%
115;1905;Alsace;JOSEPH;810;10,12%
116;1905;Aquitaine;JEAN;2524;22,16%
117;1905;Auvergne;JEAN;1093;15,62%
118;1905;Basse-Normandie;LOUIS;341;6,60%
119;1905;Bourgogne;JEAN;729;9,75%
120;1905;Bretagne;JEAN;2327;16,17%
121;1905;Centre;MARCEL;645;7,01%
122;1905;Champagne-Ardenne;ANDRÉ;409;7,38%
123;1905;Corse;JEAN;246;14,20%
124;1905;Franche-Comté;LOUIS;306;6,59%
125;1905;Haute-Normandie;ANDRÉ;446;7,41%
126;1905;Ile-de-France;ANDRÉ;1748;7,44%
127;1905;Languedoc-Roussillion;JEAN;669;8,35%
128;1905;Limousin;JEAN;824;14,91%
129;1905;Lorraine;JEAN;874;8,04%
130;1905;Midi-Pyrénées;JEAN;1308;13,31%
131;1905;Nord-Pas-de-Calais;HENRI;813;4,85%
132;1905;Outre-mer;JOSEPH;469;6,72%
133;1905;Pays-de-la-Loire;LOUIS;699;6,19%
134;1905;Picardie;ANDRÉ;494;6,96%
135;1905;Poitou-Charentes;JEAN;443;5,55%
136;1905;Provence-Alpes-Cote-d'Azur;JEAN;700;7,79%
137;1905;Rhône-Alpes;JEAN;1751;11,13%
138;1906;Alsace;JOSEPH;756;9,25%
139;1906;Aquitaine;JEAN;2578;21,58%
140;1906;Auvergne;JEAN;1106;15,99%
141;1906;Basse-Normandie;MARCEL;351;6,54%
142;1906;Bourgogne;JEAN;665;8,76%
143;1906;Bretagne;JEAN;2388;16,59%
144;1906;Centre;MARCEL;697;7,05%
145;1906;Champagne-Ardenne;ANDRÉ;470;8,14%
146;1906;Corse;JEAN;249;14,75%
147;1906;Franche-Comté;LOUIS;313;6,54%
148;1906;Haute-Normandie;ANDRÉ;470;7,70%
149;1906;Ile-de-France;ANDRÉ;1819;7,44%
150;1906;Languedoc-Roussillion;JEAN;699;8,56%
151;1906;Limousin;JEAN;791;13,92%
152;1906;Lorraine;JEAN;921;8,19%
153;1906;Midi-Pyrénées;JEAN;1315;12,67%
154;1906;Nord-Pas-de-Calais;HENRI;854;4,98%
155;1906;Outre-mer;JOSEPH;483;6,73%
156;1906;Pays-de-la-Loire;MARCEL;719;6,17%
157;1906;Picardie;ANDRÉ;531;7,10%
158;1906;Poitou-Charentes;JEAN;496;6,08%
159;1906;Provence-Alpes-Cote-d'Azur;JEAN;764;7,90%
160;1906;Rhône-Alpes;JEAN;1729;10,86%
161;1907;Alsace;JOSEPH;797;9,53%
162;1907;Aquitaine;JEAN;2439;21,09%
163;1907;Auvergne;JEAN;1059;15,46%
164;1907;Basse-Normandie;MARCEL;352;6,37%
165;1907;Bourgogne;JEAN;693;9,30%
166;1907;Bretagne;JEAN;2427;16,32%
167;1907;Centre;MARCEL;676;7,02%
168;1907;Champagne-Ardenne;ANDRÉ;489;8,04%
169;1907;Corse;JEAN;278;16,18%
170;1907;Franche-Comté;LOUIS;320;6,51%
171;1907;Haute-Normandie;ANDRÉ;480;7,35%
172;1907;Ile-de-France;ANDRÉ;1923;7,64%
