,Annees,Classement,prenom,nombre,pourcentage
0,1900,1,MARIE,48727.0,0.20497558061761476
1,1900,2,JEANNE,13983.0,0.05882105493414549
2,1900,3,MARGUERITE,8059.0,0.03390108572654498
3,1900,4,GERMAINE,6981.0,0.02936635804156974
4,1900,5,LOUISE,6698.0,0.02817588685896492
5,1900,6,YVONNE,5099.0,0.021449514346650066
6,1900,7,MADELEINE,4960.0,0.020864795285229325
7,1900,8,SUZANNE,4954.0,0.02083955561351332
8,1900,9,MARTHE,3772.0,0.015867340285460687
9,1900,10,MARCELLE,3767.0,0.01584630722569735
10,1901,1,MARIE,52167.0,0.20251714914613364
11,1901,2,JEANNE,14966.0,0.058099404875132474
12,1901,3,MARGUERITE,9018.0,0.035008715298940576
13,1901,4,GERMAINE,7694.0,0.02986882407518838
14,1901,5,LOUISE,7204.0,0.02796659847123175
15,1901,6,YVONNE,5718.0,0.022197808170253075
16,1901,7,MADELEINE,5628.0,0.021848419794016142
17,1901,8,SUZANNE,5328.0,0.02068379187322637
18,1901,9,MARCELLE,4259.0,0.01653383438214548
19,1901,10,MARTHE,4115.0,0.015974812980166387
20,1902,1,MARIE,51870.0,0.1983435047951177
21,1902,2,JEANNE,14932.0,0.05709784487373622
22,1902,3,MARGUERITE,9105.0,0.03481622539347497
23,1902,4,GERMAINE,8339.0,0.03188715030820294
24,1902,5,LOUISE,6985.0,0.02670964682849233
25,1902,6,MADELEINE,5945.0,0.02273283470227443
26,1902,7,YVONNE,5931.0,0.022679300692883035
27,1902,8,SUZANNE,5621.0,0.021493904770645007
28,1902,9,MARCELLE,4724.0,0.01806390431178207
29,1902,10,MARTHE,4040.0,0.015448385567231068
30,1903,1,MARIE,50445.0,0.19287901902981222
31,1903,2,JEANNE,15020.0,0.05742973269556506
32,1903,3,MARGUERITE,8850.0,0.03383842439119513
33,1903,4,GERMAINE,7937.0,0.030347522530272963
34,1903,5,LOUISE,6870.0,0.026267793849436217
35,1903,6,MADELEINE,6238.0,0.023851309757319233
36,1903,7,YVONNE,6087.0,0.02327395358974065
37,1903,8,SUZANNE,5778.0,0.02209247639913282
38,1903,9,MARCELLE,4764.0,0.018215395909565377
39,1903,10,MARTHE,4165.0,0.015925088993144373
40,1904,1,MARIE,50153.0,0.1893094675494289
41,1904,2,JEANNE,14912.0,0.05628741610864921
