,Annees,Classement,prenom,nombre,pourcentage
0,1900,1,JEAN,14108.0,0.07948930320086994
1,1900,2,LOUIS,9057.0,0.051030239515897295
2,1900,3,PIERRE,7460.0,0.04203219463272539
3,1900,4,JOSEPH,7263.0,0.04092222917124457
4,1900,5,HENRI,6924.0,0.03901218708270651
5,1900,6,MARCEL,6542.0,0.036859868269073656
6,1900,7,GEORGES,5664.0,0.03191291560318453
7,1900,8,ANDRÉ,5532.0,0.03116918240056794
8,1900,9,PAUL,4925.0,0.027749136537020446
9,1900,10,RENÉ,4773.0,0.026892716485522557
10,1901,1,JEAN,15639.0,0.07977128050273402
11,1901,2,LOUIS,10066.0,0.05134456867705868
12,1901,3,PIERRE,8454.0,0.04312209254876357
13,1901,4,JOSEPH,7895.0,0.040270750020403166
14,1901,5,MARCEL,7587.0,0.03869970619440137
15,1901,6,HENRI,7471.0,0.03810801436382927
16,1901,7,ANDRÉ,6274.0,0.032002366767322286
17,1901,8,GEORGES,6232.0,0.03178813351832204
18,1901,9,RENÉ,5464.0,0.02787072553660328
19,1901,10,PAUL,5402.0,0.027554476454745777
20,1902,1,JEAN,16369.0,0.08006750146742321
21,1902,2,LOUIS,10439.0,0.051061436118176484
22,1902,3,PIERRE,8981.0,0.0439297593425944
23,1902,4,MARCEL,8190.0,0.04006065349246723
24,1902,5,HENRI,8032.0,0.03928781060457836
25,1902,6,JOSEPH,7946.0,0.03886714928585404
26,1902,7,GEORGES,6595.0,0.03225885345333594
27,1902,8,ANDRÉ,6343.0,0.031026217961260028
28,1902,9,RENÉ,5852.0,0.02862453531598513
29,1902,10,PAUL,5645.0,0.027612013304637056
30,1903,1,JEAN,16539.0,0.07972254491292172
31,1903,2,LOUIS,9992.0,0.048164197881970724
32,1903,3,PIERRE,9078.0,0.04375846560974082
33,1903,4,MARCEL,8605.0,0.04147847505748179
34,1903,5,HENRI,8148.0,0.03927560892136684
35,1903,6,JOSEPH,8074.0,0.03891890849670052
36,1903,7,ANDRÉ,7495.0,0.03612796868748704
37,1903,8,GEORGES,6404.0,0.03086904756166338
38,1903,9,RENÉ,6143.0,0.029610955523313266
39,1903,10,PAUL,5595.0,0.026969444270378923
40,1904,1,JEAN,16955.0,0.0791387390078602
41,1904,2,LOUIS,10422.0,0.04864546965142548
